ImageData,Label
"[[[0.35294118 0.52941176 0.2745098 ]
  [0.35294118 0.52941176 0.27058824]
  [0.35686275 0.5254902  0.25882353]
  ...
  [0.41568627 0.61176471 0.38039216]
  [0.41568627 0.60784314 0.37254902]
  [0.42745098 0.61568627 0.38431373]]

 [[0.34901961 0.52156863 0.27058824]
  [0.34509804 0.52156863 0.26666667]
  [0.34117647 0.51764706 0.25882353]
  ...
  [0.42352941 0.61960784 0.38431373]
  [0.41568627 0.61568627 0.36470588]
  [0.42352941 0.61960784 0.37254902]]

 [[0.34901961 0.51764706 0.27058824]
  [0.34509804 0.52156863 0.26666667]
  [0.3372549  0.51764706 0.25882353]
  ...
  [0.43529412 0.62745098 0.39607843]
  [0.41960784 0.61176471 0.36470588]
  [0.43137255 0.62352941 0.38039216]]

 ...

 [[0.69411765 0.87058824 0.40392157]
  [0.60784314 0.80784314 0.40392157]
  [0.50196078 0.71372549 0.35294118]
  ...
  [0.65098039 0.72156863 0.51764706]
  [0.57254902 0.68235294 0.42352941]
  [0.68235294 0.81568627 0.50980392]]

 [[0.70980392 0.88235294 0.4       ]
  [0.61960784 0.81960784 0.39607843]
  [0.50588235 0.71372549 0.34901961]
  ...
  [0.65490196 0.7372549  0.52156863]
  [0.60784314 0.71764706 0.45098039]
  [0.72941176 0.85098039 0.52941176]]

 [[0.68627451 0.8627451  0.38431373]
  [0.61568627 0.81568627 0.37647059]
  [0.48235294 0.69411765 0.32941176]
  ...
  [0.69411765 0.78039216 0.54509804]
  [0.63921569 0.74901961 0.46666667]
  [0.76078431 0.8745098  0.54509804]]]",Powdery
"[[[0.79607843 0.81176471 0.72941176]
  [0.62352941 0.6745098  0.57254902]
  [0.49803922 0.55294118 0.42745098]
  ...
  [0.25098039 0.3372549  0.17647059]
  [0.24705882 0.32941176 0.17254902]
  [0.22352941 0.30196078 0.15686275]]

 [[0.61568627 0.65490196 0.57254902]
  [0.6        0.64705882 0.54901961]
  [0.41176471 0.48235294 0.38431373]
  ...
  [0.27843137 0.35294118 0.20392157]
  [0.25098039 0.33333333 0.18039216]
  [0.20784314 0.29411765 0.14117647]]

 [[0.49803922 0.53333333 0.43137255]
  [0.52156863 0.58431373 0.45490196]
  [0.39215686 0.4627451  0.34117647]
  ...
  [0.27843137 0.36078431 0.21176471]
  [0.24705882 0.33333333 0.17647059]
  [0.20392157 0.29411765 0.12941176]]

 ...

 [[0.57254902 0.6        0.42352941]
  [0.69019608 0.70980392 0.5372549 ]
  [0.79607843 0.80392157 0.64313725]
  ...
  [0.74117647 0.8        0.68235294]
  [0.89803922 0.92156863 0.78823529]
  [0.87843137 0.89019608 0.74901961]]

 [[0.56862745 0.6        0.41960784]
  [0.69411765 0.70980392 0.5372549 ]
  [0.79607843 0.80392157 0.63921569]
  ...
  [0.80784314 0.85882353 0.74509804]
  [0.90980392 0.93333333 0.79607843]
  [0.87843137 0.89411765 0.75294118]]

 [[0.56078431 0.59215686 0.41176471]
  [0.69019608 0.70980392 0.52941176]
  [0.77647059 0.78823529 0.61568627]
  ...
  [0.87843137 0.91372549 0.80784314]
  [0.90980392 0.92941176 0.79215686]
  [0.8627451  0.87058824 0.73333333]]]",Powdery
"[[[0.41960784 0.54509804 0.36078431]
  [0.41568627 0.54901961 0.36470588]
  [0.41568627 0.54509804 0.38039216]
  ...
  [0.45490196 0.51764706 0.43529412]
  [0.45490196 0.51372549 0.43137255]
  [0.46666667 0.52941176 0.44313725]]

 [[0.39607843 0.51764706 0.33333333]
  [0.4        0.5254902  0.34901961]
  [0.41176471 0.5372549  0.37647059]
  ...
  [0.45098039 0.5254902  0.43137255]
  [0.45098039 0.51764706 0.42745098]
  [0.45490196 0.5254902  0.42745098]]

 [[0.35686275 0.49411765 0.29411765]
  [0.38823529 0.50588235 0.3372549 ]
  [0.4        0.52156863 0.36078431]
  ...
  [0.44313725 0.51764706 0.41568627]
  [0.44313725 0.51372549 0.41176471]
  [0.44705882 0.51764706 0.41568627]]

 ...

 [[0.42352941 0.57254902 0.40784314]
  [0.39215686 0.54509804 0.37254902]
  [0.41176471 0.55686275 0.39607843]
  ...
  [0.55686275 0.69019608 0.50196078]
  [0.54117647 0.68627451 0.49411765]
  [0.53333333 0.68235294 0.49411765]]

 [[0.41176471 0.56078431 0.39607843]
  [0.42352941 0.57254902 0.41568627]
  [0.48235294 0.61568627 0.48627451]
  ...
  [0.54509804 0.68235294 0.48235294]
  [0.53333333 0.68235294 0.48235294]
  [0.52156863 0.67843137 0.48627451]]

 [[0.45098039 0.59215686 0.44705882]
  [0.50196078 0.63137255 0.50196078]
  [0.56862745 0.67843137 0.58431373]
  ...
  [0.5254902  0.67058824 0.45882353]
  [0.51764706 0.6745098  0.4627451 ]
  [0.52156863 0.67843137 0.48235294]]]",Powdery
"[[[0.62745098 0.68627451 0.51764706]
  [0.60784314 0.68627451 0.50588235]
  [0.6        0.68235294 0.50196078]
  ...
  [0.5254902  0.65490196 0.4627451 ]
  [0.51372549 0.63529412 0.45490196]
  [0.50588235 0.62745098 0.45098039]]

 [[0.63921569 0.69411765 0.52156863]
  [0.61568627 0.67843137 0.50980392]
  [0.61568627 0.67843137 0.50588235]
  ...
  [0.5254902  0.65490196 0.46666667]
  [0.51764706 0.63921569 0.4627451 ]
  [0.49803922 0.62745098 0.44313725]]

 [[0.65490196 0.70588235 0.54117647]
  [0.62745098 0.68235294 0.51764706]
  [0.62352941 0.67843137 0.51372549]
  ...
  [0.5254902  0.65490196 0.4745098 ]
  [0.51764706 0.64313725 0.46666667]
  [0.50196078 0.63529412 0.44313725]]

 ...

 [[0.74509804 0.83137255 0.65098039]
  [0.7372549  0.80392157 0.61960784]
  [0.74901961 0.8        0.61568627]
  ...
  [0.36078431 0.35686275 0.28627451]
  [0.40392157 0.39607843 0.3254902 ]
  [0.43529412 0.41568627 0.30588235]]

 [[0.76470588 0.81568627 0.61568627]
  [0.75686275 0.8        0.59607843]
  [0.7254902  0.76470588 0.55686275]
  ...
  [0.37254902 0.36862745 0.29411765]
  [0.41176471 0.40392157 0.32941176]
  [0.42745098 0.43529412 0.32941176]]

 [[0.70588235 0.75294118 0.55294118]
  [0.68235294 0.74509804 0.53333333]
  [0.59215686 0.67058824 0.44313725]
  ...
  [0.40392157 0.41568627 0.34509804]
  [0.43921569 0.43921569 0.36078431]
  [0.45882353 0.46666667 0.38431373]]]",Powdery
"[[[0.3254902  0.30588235 0.18823529]
  [0.35686275 0.33333333 0.20784314]
  [0.33333333 0.33333333 0.21176471]
  ...
  [0.4        0.53333333 0.21568627]
  [0.38431373 0.50980392 0.21176471]
  [0.37254902 0.49803922 0.21176471]]

 [[0.31372549 0.29803922 0.17254902]
  [0.34117647 0.32941176 0.19215686]
  [0.32941176 0.32941176 0.19607843]
  ...
  [0.39607843 0.5254902  0.21568627]
  [0.38431373 0.50980392 0.22352941]
  [0.37647059 0.49803922 0.22352941]]

 [[0.30588235 0.29411765 0.16862745]
  [0.3254902  0.32941176 0.18431373]
  [0.32156863 0.33333333 0.18823529]
  ...
  [0.39215686 0.52156863 0.22352941]
  [0.39215686 0.51372549 0.23529412]
  [0.38039216 0.50196078 0.23137255]]

 ...

 [[0.4745098  0.61176471 0.40392157]
  [0.48235294 0.61176471 0.40784314]
  [0.47843137 0.60784314 0.40784314]
  ...
  [0.34117647 0.47058824 0.23529412]
  [0.34901961 0.49019608 0.25098039]
  [0.34901961 0.49019608 0.23529412]]

 [[0.47058824 0.60392157 0.40392157]
  [0.4745098  0.60392157 0.40784314]
  [0.47843137 0.6        0.40784314]
  ...
  [0.34901961 0.4745098  0.25098039]
  [0.36862745 0.50196078 0.2627451 ]
  [0.36862745 0.50196078 0.25098039]]

 [[0.47058824 0.6        0.4       ]
  [0.47058824 0.6        0.40392157]
  [0.47843137 0.6        0.40784314]
  ...
  [0.35294118 0.47058824 0.2627451 ]
  [0.38039216 0.50196078 0.2745098 ]
  [0.38431373 0.50980392 0.27058824]]]",Powdery
"[[[0.69019608 0.8        0.60784314]
  [0.6745098  0.78431373 0.6       ]
  [0.66666667 0.76470588 0.6       ]
  ...
  [0.33333333 0.44705882 0.30588235]
  [0.31764706 0.43921569 0.28235294]
  [0.31372549 0.43921569 0.26666667]]

 [[0.65098039 0.76470588 0.57647059]
  [0.60784314 0.72156863 0.5372549 ]
  [0.67843137 0.75686275 0.61960784]
  ...
  [0.31764706 0.43921569 0.29411765]
  [0.30980392 0.43529412 0.27843137]
  [0.30196078 0.43137255 0.2627451 ]]

 [[0.57647059 0.68235294 0.50588235]
  [0.58039216 0.67843137 0.52941176]
  [0.76862745 0.8        0.70980392]
  ...
  [0.31372549 0.43529412 0.27843137]
  [0.30588235 0.42745098 0.26666667]
  [0.29803922 0.42745098 0.25882353]]

 ...

 [[0.42352941 0.51372549 0.38823529]
  [0.38039216 0.49411765 0.35686275]
  [0.38431373 0.50588235 0.36078431]
  ...
  [0.56470588 0.6627451  0.4627451 ]
  [0.57254902 0.59215686 0.41568627]
  [0.55294118 0.4        0.30588235]]

 [[0.57254902 0.58823529 0.49411765]
  [0.59215686 0.63529412 0.50980392]
  [0.6        0.6745098  0.5254902 ]
  ...
  [0.56470588 0.59607843 0.43137255]
  [0.54117647 0.54901961 0.39607843]
  [0.6        0.52941176 0.39607843]]

 [[0.58823529 0.57254902 0.49411765]
  [0.72156863 0.71764706 0.62352941]
  [0.84313725 0.8627451  0.76470588]
  ...
  [0.57254902 0.5254902  0.40392157]
  [0.52941176 0.50980392 0.38039216]
  [0.57647059 0.53333333 0.41176471]]]",Powdery
"[[[0.96078431 0.99607843 0.77254902]
  [0.9372549  0.99607843 0.74117647]
  [0.89411765 0.98823529 0.68627451]
  ...
  [0.6745098  0.56470588 0.54509804]
  [0.6745098  0.56078431 0.53333333]
  [0.68235294 0.59607843 0.58431373]]

 [[0.97254902 0.99607843 0.79215686]
  [0.94117647 0.99607843 0.74901961]
  [0.90980392 0.99607843 0.69803922]
  ...
  [0.66666667 0.55686275 0.52941176]
  [0.67058824 0.55686275 0.5372549 ]
  [0.6745098  0.58823529 0.58039216]]

 [[0.98039216 0.99607843 0.80392157]
  [0.95294118 0.99607843 0.74901961]
  [0.9254902  0.99607843 0.70588235]
  ...
  [0.65490196 0.54509804 0.51372549]
  [0.66666667 0.55686275 0.5372549 ]
  [0.67058824 0.58039216 0.56470588]]

 ...

 [[0.16470588 0.35294118 0.15686275]
  [0.14509804 0.32941176 0.14509804]
  [0.13333333 0.30980392 0.12941176]
  ...
  [0.2745098  0.43529412 0.29803922]
  [0.27843137 0.43529412 0.29411765]
  [0.28627451 0.44313725 0.29803922]]

 [[0.15294118 0.32941176 0.14117647]
  [0.13333333 0.31372549 0.12941176]
  [0.12156863 0.29019608 0.12156863]
  ...
  [0.27058824 0.43529412 0.30588235]
  [0.2745098  0.44313725 0.30196078]
  [0.2745098  0.44313725 0.29803922]]

 [[0.14509804 0.31372549 0.12941176]
  [0.12941176 0.29411765 0.11764706]
  [0.11764706 0.26666667 0.11372549]
  ...
  [0.2627451  0.43137255 0.30980392]
  [0.27058824 0.43921569 0.30588235]
  [0.27843137 0.43921569 0.29803922]]]",Powdery
"[[[0.42352941 0.56862745 0.41960784]
  [0.41568627 0.56078431 0.40392157]
  [0.41568627 0.56470588 0.39607843]
  ...
  [0.37647059 0.6        0.38823529]
  [0.38039216 0.60392157 0.38823529]
  [0.39607843 0.61960784 0.40392157]]

 [[0.43921569 0.58431373 0.45098039]
  [0.42745098 0.57254902 0.42745098]
  [0.41176471 0.56078431 0.40392157]
  ...
  [0.38039216 0.60392157 0.38823529]
  [0.38039216 0.60784314 0.38823529]
  [0.4        0.62745098 0.40392157]]

 [[0.46666667 0.60784314 0.49019608]
  [0.43921569 0.58823529 0.45490196]
  [0.41176471 0.56078431 0.41568627]
  ...
  [0.38431373 0.60784314 0.39215686]
  [0.38431373 0.61568627 0.38823529]
  [0.4        0.63137255 0.40392157]]

 ...

 [[0.31764706 0.38431373 0.36470588]
  [0.34509804 0.40784314 0.38823529]
  [0.37254902 0.43921569 0.42745098]
  ...
  [0.66666667 0.70588235 0.34117647]
  [0.66666667 0.70980392 0.34901961]
  [0.67058824 0.70980392 0.35686275]]

 [[0.27843137 0.34509804 0.31764706]
  [0.35294118 0.41960784 0.39607843]
  [0.41176471 0.4745098  0.4627451 ]
  ...
  [0.65882353 0.70196078 0.32941176]
  [0.6627451  0.70588235 0.3372549 ]
  [0.66666667 0.70980392 0.35294118]]

 [[0.36470588 0.43921569 0.41568627]
  [0.34117647 0.40784314 0.38431373]
  [0.42745098 0.49411765 0.47843137]
  ...
  [0.65490196 0.69803922 0.3254902 ]
  [0.65882353 0.70196078 0.33333333]
  [0.66666667 0.70980392 0.34509804]]]",Powdery
"[[[0.54509804 0.67843137 0.43921569]
  [0.51764706 0.65490196 0.41960784]
  [0.48627451 0.62352941 0.38431373]
  ...
  [0.45098039 0.5372549  0.4627451 ]
  [0.39215686 0.47843137 0.41960784]
  [0.36470588 0.45882353 0.39607843]]

 [[0.55294118 0.68235294 0.44705882]
  [0.52941176 0.67058824 0.43529412]
  [0.51764706 0.65882353 0.41568627]
  ...
  [0.43529412 0.51764706 0.44313725]
  [0.37647059 0.46666667 0.40392157]
  [0.34509804 0.43921569 0.37647059]]

 [[0.57254902 0.70588235 0.46666667]
  [0.54117647 0.68627451 0.45098039]
  [0.5372549  0.69019608 0.43137255]
  ...
  [0.41568627 0.50196078 0.42352941]
  [0.36470588 0.45490196 0.39215686]
  [0.34901961 0.44313725 0.38039216]]

 ...

 [[0.59607843 0.73333333 0.63137255]
  [0.50980392 0.65098039 0.53333333]
  [0.46666667 0.58823529 0.46666667]
  ...
  [0.70588235 0.84313725 0.77254902]
  [0.70588235 0.83137255 0.76862745]
  [0.70588235 0.81960784 0.76470588]]

 [[0.57254902 0.70980392 0.60392157]
  [0.50196078 0.63529412 0.52156863]
  [0.45882353 0.57647059 0.4627451 ]
  ...
  [0.70196078 0.83921569 0.77254902]
  [0.71372549 0.83529412 0.77254902]
  [0.71764706 0.81960784 0.76862745]]

 [[0.55686275 0.69019608 0.58823529]
  [0.49019608 0.60784314 0.50588235]
  [0.45098039 0.56470588 0.44313725]
  ...
  [0.70196078 0.83529412 0.76470588]
  [0.71764706 0.83137255 0.76862745]
  [0.71764706 0.82352941 0.76862745]]]",Powdery
"[[[0.40392157 0.49803922 0.31372549]
  [0.41568627 0.50588235 0.32941176]
  [0.42745098 0.52156863 0.33333333]
  ...
  [0.35294118 0.45098039 0.2       ]
  [0.36862745 0.45882353 0.25882353]
  [0.43137255 0.49803922 0.35686275]]

 [[0.40784314 0.49803922 0.30980392]
  [0.41568627 0.50980392 0.3254902 ]
  [0.42352941 0.51764706 0.32941176]
  ...
  [0.35294118 0.45098039 0.18431373]
  [0.36470588 0.45490196 0.24705882]
  [0.40784314 0.47843137 0.32156863]]

 [[0.40784314 0.50196078 0.30588235]
  [0.41176471 0.50588235 0.31372549]
  [0.41960784 0.50980392 0.31764706]
  ...
  [0.35294118 0.44705882 0.18823529]
  [0.38823529 0.46666667 0.25490196]
  [0.4        0.47058824 0.29411765]]

 ...

 [[0.55686275 0.61568627 0.48627451]
  [0.51764706 0.57254902 0.48235294]
  [0.45490196 0.50980392 0.43137255]
  ...
  [0.36862745 0.49803922 0.27843137]
  [0.42352941 0.55294118 0.31372549]
  [0.43137255 0.55686275 0.30980392]]

 [[0.55686275 0.62352941 0.49019608]
  [0.50588235 0.56470588 0.4627451 ]
  [0.43137255 0.49411765 0.4       ]
  ...
  [0.40392157 0.54117647 0.29803922]
  [0.42745098 0.56078431 0.30980392]
  [0.42745098 0.55294118 0.30980392]]

 [[0.54117647 0.61568627 0.47843137]
  [0.49019608 0.55294118 0.44313725]
  [0.40784314 0.48235294 0.35686275]
  ...
  [0.41176471 0.55686275 0.29803922]
  [0.41960784 0.56078431 0.30196078]
  [0.42352941 0.55686275 0.30980392]]]",Powdery
